id,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,daily_variation,new_column
1,Rio Branco,1200401.0,2020-03-17,202012,413418.0,407319.0,False,False,3,0.7256600000000001,2020-03-17,0.0,0,1,city,AC,3,0,,6
2,Rio Branco - AC,12.0,2020-03-17,202012,894470.0,881935.0,False,False,3,0.33539,2020-03-17,0.0,0,1,state,AC,3,0,,6
3,Rio Branco,1200401.0,2020-03-18,202012,413418.0,407319.0,False,False,3,0.7256600000000001,2020-03-18,0.0,0,2,city,AC,0,0,-3.0,6
4,Rio Branco - AC,12.0,2020-03-18,202012,894470.0,881935.0,False,False,3,0.33539,2020-03-18,0.0,0,2,state,AC,0,0,,6
5,Rio Branco,1200401.0,2020-03-19,202012,413418.0,407319.0,False,False,4,0.96754,2020-03-19,0.0,0,3,city,AC,1,0,1.0,8
6,Rio Branco - AC,12.0,2020-03-19,202012,894470.0,881935.0,False,False,4,0.44719,2020-03-19,0.0,0,3,state,AC,1,0,,8
7,Rio Branco,1200401.0,2020-03-20,202012,413418.0,407319.0,False,False,7,1.6932,2020-03-20,0.0,0,4,city,AC,3,0,2.0,14
8,Rio Branco - AC,12.0,2020-03-20,202012,894470.0,881935.0,False,False,7,0.78259,2020-03-20,0.0,0,4,state,AC,3,0,,14
9,Rio Branco,1200401.0,2020-03-21,202012,413418.0,407319.0,False,False,11,2.66075,2020-03-21,0.0,0,5,city,AC,4,0,1.0,22
10,Rio Branco - AC,12.0,2020-03-21,202012,894470.0,881935.0,False,False,11,1.2297799999999999,2020-03-21,0.0,0,5,state,AC,4,0,,22
11,Rio Branco,1200401.0,2020-03-22,202013,413418.0,407319.0,False,False,11,2.66075,2020-03-22,0.0,0,6,city,AC,0,0,-4.0,22
12,Rio Branco - AC,12.0,2020-03-22,202013,894470.0,881935.0,False,False,11,1.2297799999999999,2020-03-22,0.0,0,6,state,AC,0,0,,22
13,Rio Branco,1200401.0,2020-03-23,202013,413418.0,407319.0,False,False,17,4.11206,2020-03-23,0.0,0,7,city,AC,6,0,6.0,34
14,Rio Branco - AC,12.0,2020-03-23,202013,894470.0,881935.0,False,False,17,1.90057,2020-03-23,0.0,0,7,state,AC,6,0,,34
15,Rio Branco,1200401.0,2020-03-24,202013,413418.0,407319.0,False,False,21,5.0796,2020-03-24,0.0,0,8,city,AC,4,0,-2.0,42
16,Rio Branco - AC,12.0,2020-03-24,202013,894470.0,881935.0,False,False,21,2.34776,2020-03-24,0.0,0,8,state,AC,4,0,,42
17,Rio Branco,1200401.0,2020-03-25,202013,413418.0,407319.0,False,False,23,5.56338,2020-03-25,0.0,0,9,city,AC,2,0,-2.0,46
18,Rio Branco - AC,12.0,2020-03-25,202013,894470.0,881935.0,False,False,23,2.57136,2020-03-25,0.0,0,9,state,AC,2,0,,46
19,Rio Branco,1200401.0,2020-03-26,202013,413418.0,407319.0,False,False,23,5.56338,2020-03-26,0.0,0,10,city,AC,0,0,-2.0,46
20,Rio Branco - AC,12.0,2020-03-26,202013,894470.0,881935.0,False,False,23,2.57136,2020-03-26,0.0,0,10,state,AC,0,0,,46
21,Rio Branco,1200401.0,2020-03-27,202013,413418.0,407319.0,False,False,25,6.04715,2020-03-27,0.0,0,11,city,AC,2,0,2.0,50
22,Rio Branco - AC,12.0,2020-03-27,202013,894470.0,881935.0,False,False,25,2.79495,2020-03-27,0.0,0,11,state,AC,2,0,,50
23,Rio Branco,1200401.0,2020-03-28,202013,413418.0,407319.0,False,False,25,6.04715,2020-03-28,0.0,0,12,city,AC,0,0,-2.0,50
24,Rio Branco - AC,12.0,2020-03-28,202013,894470.0,881935.0,False,False,25,2.79495,2020-03-28,0.0,0,12,state,AC,0,0,,50
25,Acrelândia,1200013.0,2020-03-29,202014,15490.0,15256.0,False,False,2,12.91156,2020-03-29,0.0,0,1,city,AC,2,0,,4
26,Porto Acre,1200807.0,2020-03-29,202014,18824.0,18504.0,False,False,1,5.31237,2020-03-29,0.0,0,1,city,AC,1,0,,2
27,Rio Branco,1200401.0,2020-03-29,202014,413418.0,407319.0,False,False,31,7.498460000000001,2020-03-29,0.0,0,13,city,AC,6,0,6.0,62
28,Rio Branco - AC,12.0,2020-03-29,202014,894470.0,881935.0,False,False,34,3.80113,2020-03-29,0.0,0,13,state,AC,9,0,,68
29,Acrelândia,1200013.0,2020-03-30,202014,15490.0,15256.0,False,False,6,38.73467,2020-03-30,0.0,0,2,city,AC,4,0,2.0,12
30,Porto Acre,1200807.0,2020-03-30,202014,18824.0,18504.0,False,False,1,5.31237,2020-03-30,0.0,0,2,city,AC,0,0,-1.0,2
31,Rio Branco,1200401.0,2020-03-30,202014,413418.0,407319.0,False,False,34,8.22412,2020-03-30,0.0,0,14,city,AC,3,0,-3.0,68
32,Rio Branco - AC,12.0,2020-03-30,202014,894470.0,881935.0,False,False,41,4.58372,2020-03-30,0.0,0,14,state,AC,7,0,,82
33,Acrelândia,1200013.0,2020-03-31,202014,15490.0,15256.0,False,False,7,45.19045,2020-03-31,0.0,0,3,city,AC,1,0,-3.0,14
34,Porto Acre,1200807.0,2020-03-31,202014,18824.0,18504.0,False,False,1,5.31237,2020-03-31,0.0,0,3,city,AC,0,0,0.0,2
